"ItemID","Subject","ItemGrade","PoolGrade","Claim","Target","DOK","StimID","AsmtType","ItemType","Calculator","IRT_A","IRT_B","IRT_C","IRT_Step1","IRT_Step2","IRT_Step3","IRT_Step4","IRT_Step5","IRT_Step6","IRT_Step7","IRT_Step8","Braille","Translation","ExtPool","SpaErrors"
"1006","Math",3,3,1,"C",1,NA,"CAT","eq","No",1.14895,-1.77258,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1008","Math",3,3,1,"C",1,NA,"CAT","eq","No",1.02037,-1.58799,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1010","Math",3,3,1,"D",2,NA,"CAT","eq","No",0.73639,-1.0963,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1012","Math",3,3,1,"D",2,NA,"CAT","eq","No",1.13566,-1.84066,0,0,NA,NA,NA,NA,NA,NA,NA,"PRN","spa",0,0
"1014","Math",3,3,1,"D",2,NA,"CAT","eq","No",0.94365,-0.82386,0,0,NA,NA,NA,NA,NA,NA,NA,"PRN","spa",0,0
"1016","Math",3,3,1,"E",1,NA,"CAT","eq","No",0.72211,-1.75881,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1018","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.18188,-0.33759,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1020","Math",3,3,1,"F",1,NA,"CAT","eq","No",0.38428,-0.4854,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1414","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.19228,-1.67504,0,0,NA,NA,NA,NA,NA,NA,NA,"","spa",0,0
"1416","Math",3,3,1,"C",1,NA,"CAT","eq","No",0.89073,-2.2846,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1418","Math",3,3,1,"E",1,NA,"CAT","eq","No",0.93927,-1.27742,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1420","Math",3,3,1,"F",1,NA,"CAT","eq","No",0.33811,0.35908,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1422","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.71607,-0.84274,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1424","Math",3,3,1,"C",1,NA,"CAT","eq","No",1.19392,-1.58146,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1428","Math",3,3,1,"F",1,NA,"CAT","eq","No",0.4245,-0.15092,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1430","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.03723,-1.10778,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1432","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.33882,-0.53629,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1434","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.13602,-2.0149,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1436","Math",3,3,1,"B",1,NA,"CAT","eq","No",0.17701,-0.7618,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1438","Math",3,3,1,"E",1,NA,"CAT","eq","No",1.06769,-0.35578,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF",NA,0,0
"1440","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.01673,-1.7772,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1442","Math",3,3,1,"C",1,NA,"CAT","eq","No",0.98038,-1.73099,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1444","Math",3,3,1,"E",1,NA,"CAT","eq","No",0.9569,0.98573,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF",NA,0,0
"1446","Math",3,3,1,"F",1,NA,"CAT","eq","No",0.91821,-0.99748,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1448","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.94206,-2.08241,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
